date,iyr_close,eem_close,agg_close,emb_close,bsv_close,iau_close,ifeu_close,ijh_close,slv_close,ijr_close,ivv_close,ivv_close_shft
2018-05-08,76.78,46.42,105.69,107.54,78.0,12.62,41.22,191.22,15.51,80.12,268.68,271.44
2018-05-07,77.16,46.16,105.81,108.18,78.04,12.62,41.3,190.62,15.52,79.44,268.79,268.68
2018-05-04,76.74,46.43,105.86,108.63,78.03,12.62,41.22,189.57,15.54,78.83,267.82,268.79
2018-05-03,75.94,46.22,105.79,108.54,78.04,12.59,41.16,187.05,15.46,77.87,264.4,267.82
2018-05-02,75.91,46.32,105.67,108.66,78.02,12.53,41.23,187.34,15.42,78.35,264.97,264.4
2018-05-01,76.17,46.69,105.67,109.53,77.97,12.53,41.31,187.68,15.24,78.16,266.83,264.97
2018-04-30,75.64,46.92,106.0,110.14,78.14,12.62,41.66,186.96,15.38,77.82,266.31,266.83
2018-04-27,75.87,47.26,105.98,110.49,78.14,12.71,41.48,188.97,15.57,78.52,268.39,266.31
2018-04-26,74.9,46.97,105.85,110.4,78.13,12.65,41.36,189.28,15.58,78.78,268.15,268.39
2018-04-25,74.0,46.3,105.67,110.31,78.09,12.69,41.02,188.57,15.61,78.53,265.42,268.15
2018-04-24,74.16,46.66,105.81,110.71,78.09,12.79,40.98,188.43,15.76,78.66,264.89,265.42
2018-04-23,73.98,46.88,105.95,110.88,78.04,12.72,41.2,189.81,15.67,79.03,268.44,264.89
2018-04-20,73.93,47.26,106.0,111.15,78.07,12.82,41.56,189.85,16.13,79.06,268.44,268.44
2018-04-19,74.57,47.86,106.29,111.64,78.13,12.93,41.54,191.04,16.26,79.53,270.72,268.44
2018-04-18,75.65,48.14,106.55,112.03,78.17,12.94,41.81,191.98,16.18,80.16,272.19,270.72
2018-04-17,75.78,47.73,106.85,112.03,78.26,12.94,41.88,191.43,15.8,79.87,272.07,272.19
2018-04-16,74.81,47.63,106.82,112.27,78.28,12.93,41.56,189.99,15.72,79.12,269.19,272.07
2018-04-13,74.45,47.57,106.8,112.41,78.27,12.91,41.3,188.05,15.68,78.25,266.97,269.19
2018-04-12,74.19,48.05,106.77,112.32,78.28,12.82,41.02,188.66,15.52,78.53,267.79,266.97
2018-04-11,74.9,48.07,107.01,112.32,78.36,12.97,41.02,187.85,15.69,78.14,265.52,267.79
2018-04-10,74.73,48.05,106.92,112.28,78.32,12.88,41.23,188.08,15.62,78.01,266.97,265.52
2018-04-09,75.02,47.13,107.0,112.46,78.37,12.84,41.33,185.12,15.56,76.56,262.7,266.97
2018-04-06,75.15,47.08,106.91,112.57,78.36,12.81,40.9,185.01,15.43,76.76,261.57,262.7
2018-04-05,75.83,48.02,106.67,112.4,78.23,12.74,40.91,188.76,15.45,78.17,267.48,261.57
2018-04-04,75.76,47.9,106.82,112.44,78.28,12.81,40.88,187.34,15.38,77.34,265.63,267.48
2018-04-03,74.92,47.88,106.78,112.31,78.28,12.79,40.54,185.7,15.46,76.38,262.58,265.63
2018-04-02,74.43,47.41,106.9,112.23,78.36,12.89,40.2,183.17,15.65,75.25,259.21,262.58
2018-03-29,75.47,48.28,107.25,112.82,78.44,12.73,40.75,187.57,15.41,77.01,265.37,259.21
2018-03-28,75.45,47.29,106.94,112.22,78.4,12.73,40.66,185.02,15.36,76.29,261.62,265.37
2018-03-27,74.02,47.53,106.88,111.93,78.43,12.91,40.1,184.66,15.57,76.19,262.32,261.62
2018-03-26,73.82,48.41,106.57,111.76,78.3,12.99,40.62,187.53,15.72,77.5,267.0,262.32
2018-03-23,72.9,46.89,106.61,111.09,78.35,12.93,40.01,183.45,15.58,75.79,259.83,267.0
2018-03-22,74.08,47.86,106.61,111.54,78.34,12.75,40.18,187.19,15.44,77.46,265.47,259.83
2018-03-21,75.13,49.51,106.41,111.87,78.25,12.8,40.84,192.68,15.65,79.33,273.56,265.47
2018-03-20,75.71,49.22,106.42,111.53,78.21,12.58,40.79,192.12,15.28,78.99,274.06,273.56
2018-03-19,75.77,48.68,106.59,111.76,78.29,12.64,40.73,191.95,15.39,79.01,273.58,274.06
2018-03-16,76.48,49.21,106.7,112.23,78.3,12.61,40.3,193.7,15.39,79.71,277.3,273.58
2018-03-15,76.03,49.32,106.76,112.24,78.35,12.64,40.45,192.5,15.45,79.12,277.05,277.3
2018-03-14,76.05,49.5,106.75,112.33,78.36,12.72,40.4,193.21,15.61,79.47,277.34,277.05
2018-03-13,75.99,49.42,106.57,112.08,78.33,12.73,40.35,194.18,15.61,79.85,278.77,277.34
2018-03-12,75.87,49.87,106.43,112.26,78.3,12.7,40.33,195.29,15.61,80.11,280.59,278.77
2018-03-09,75.49,49.75,106.37,112.28,78.28,12.7,40.4,195.08,15.63,79.81,280.82,280.59
2018-03-08,75.02,48.71,106.57,112.06,78.36,12.69,40.43,191.93,15.55,78.61,276.13,280.82
2018-03-07,74.64,48.7,106.4,112.05,78.3,12.71,40.17,192.3,15.53,78.73,274.85,276.13
2018-03-06,74.26,48.65,106.42,112.17,78.29,12.8,39.8,191.81,15.78,78.16,274.95,274.85
2018-03-05,73.79,48.2,106.4,112.0,78.3,12.66,39.7,189.79,15.49,77.23,274.2,274.95
2018-03-02,72.97,48.13,106.46,112.17,78.28,12.68,39.25,187.84,15.56,76.67,271.2,274.2
2018-03-01,73.1,47.93,106.63,111.79,78.35,12.62,39.0,185.92,15.54,75.43,269.7,271.2
2018-02-28,73.33,48.02,106.77,112.54,78.37,12.66,39.13,186.46,15.46,75.74,273.34,269.7
2018-02-27,73.51,48.72,106.48,112.78,78.35,12.65,39.66,188.75,15.48,77.15,276.48,273.34
2018-02-26,75.09,50.18,106.71,112.99,78.46,12.79,40.41,191.47,15.68,78.29,279.96,276.48
2018-02-23,74.83,49.72,106.63,112.68,78.45,12.77,40.28,190.42,15.59,77.76,276.72,279.96
2018-02-22,73.58,48.85,106.36,111.84,78.4,12.79,39.81,188.03,15.66,76.77,272.37,276.72
2018-02-21,72.9,48.82,106.35,111.72,78.35,12.71,39.63,188.29,15.54,76.83,272.0,272.37
2018-02-20,74.13,48.86,106.69,112.11,78.37,12.77,39.79,188.72,15.54,76.66,273.41,272.0
2018-02-16,75.06,49.54,106.8,112.85,78.43,12.95,40.26,190.07,15.73,77.33,275.09,273.41
2018-02-15,74.43,49.7,106.59,112.11,78.39,12.99,39.8,189.64,15.91,77.06,275.02,275.09
2018-02-14,73.7,48.7,106.46,111.38,78.39,12.98,39.72,187.72,15.91,76.29,271.65,275.02
2018-02-13,74.06,47.51,106.82,111.63,78.53,12.76,39.24,184.21,15.62,74.91,267.96,271.65
2018-02-12,73.5,47.15,106.79,112.04,78.52,12.68,39.2,183.69,15.57,74.86,267.18,267.96
2018-02-09,73.28,46.42,106.76,111.86,78.57,12.63,38.76,182.0,15.39,74.14,263.67,267.18
2018-02-08,71.79,45.69,106.9,112.19,78.57,12.65,39.06,179.89,15.46,73.35,259.62,263.67
2018-02-07,73.97,47.33,107.08,113.47,78.54,12.62,39.55,186.08,15.41,75.42,269.59,259.62
2018-02-06,74.26,48.87,107.32,113.67,78.62,12.69,39.91,186.14,15.65,75.38,271.26,269.59
2018-02-05,74.0,47.33,107.63,113.46,78.72,12.85,39.33,184.45,15.74,74.45,266.05,271.26
2018-02-02,76.46,49.05,107.2,114.11,78.52,12.8,41.07,191.49,15.66,77.5,277.53,266.05
2018-02-01,77.25,50.34,107.52,115.0,78.53,12.97,42.12,195.41,16.25,79.07,283.79,277.53
2018-01-31,78.56,51.03,108.1,115.36,78.72,12.92,42.24,195.04,16.35,78.74,284.15,283.79
2018-01-30,77.34,50.59,108.01,115.19,78.73,12.83,41.95,195.52,16.15,79.17,283.65,284.15
2018-01-29,77.76,51.29,108.18,115.39,78.76,12.88,41.97,197.58,16.21,79.91,286.75,283.65
2018-01-26,78.77,52.08,108.37,116.02,78.79,12.97,42.61,199.21,16.41,80.36,288.66,286.75
2018-01-25,78.74,51.37,108.57,115.8,78.85,12.94,42.15,198.36,16.31,80.09,285.35,288.66
2018-01-24,78.89,51.4,108.29,115.64,78.86,13.05,42.41,198.51,16.56,79.87,285.24,285.35
2018-01-23,79.17,50.97,108.4,115.81,78.88,12.88,42.06,199.04,16.08,80.34,285.39,285.24
2018-01-22,78.09,50.73,108.14,115.59,78.79,12.81,42.0,198.61,16.04,80.26,284.73,285.39
2018-01-19,77.46,50.44,108.18,115.57,78.8,12.78,41.87,197.63,16.05,80.06,282.49,284.73
2018-01-18,76.96,50.03,108.41,115.9,78.84,12.75,41.73,195.52,15.97,78.91,281.26,282.49
2018-01-17,77.72,49.97,108.65,116.17,78.88,12.77,42.12,196.31,16.06,79.56,281.68,281.26
2018-01-16,77.17,49.32,108.77,116.14,78.96,12.86,41.61,194.83,16.25,78.77,278.9,281.68
2018-01-12,76.96,49.51,108.74,116.13,78.98,12.86,41.34,196.31,16.27,79.56,279.91,278.9
2018-01-11,77.59,49.04,108.76,115.96,79.01,12.69,40.75,195.75,16.01,79.2,278.09,279.91
2018-01-10,77.86,48.74,108.71,115.81,78.98,12.66,41.23,193.0,16.02,77.77,276.13,278.09
2018-01-09,78.82,49.05,108.71,116.15,78.96,12.63,41.63,193.92,16.03,77.9,276.57,276.13
2018-01-08,79.74,49.13,109.01,116.51,79.0,12.69,41.75,194.18,16.15,77.98,275.94,276.57
2018-01-05,79.29,49.13,109.04,116.72,79.01,12.69,41.67,193.22,16.22,77.86,275.33,275.94
